iter	Passed	Remaining
0	1	1336
1	1	946
2	2	813
3	3	846
4	4	810
5	4	770
6	5	737
7	5	722
8	6	705
9	6	689
10	7	674
11	8	660
12	8	649
13	9	670
14	10	691
15	11	682
16	11	673
17	12	667
18	12	658
19	13	651
20	13	644
21	14	637
22	14	633
23	15	631
24	16	626
25	16	624
26	17	619
27	17	615
28	18	611
29	18	607
30	19	604
31	19	600
32	20	597
33	20	594
34	21	592
35	22	590
36	22	588
37	23	586
38	23	586
39	24	585
40	24	584
41	25	583
42	26	580
43	26	578
44	27	576
45	27	574
46	28	572
47	28	573
48	29	580
49	30	581
50	31	579
51	31	578
52	32	576
53	32	574
54	33	571
55	33	569
56	34	566
57	34	566
58	35	565
59	35	563
60	36	562
61	37	562
62	37	562
63	38	561
64	39	561
65	39	561
66	40	559
67	40	558
68	41	559
69	42	558
70	42	557
71	43	555
72	43	553
73	44	552
74	44	551
75	45	551
76	45	549
77	46	548
78	46	546
79	47	545
80	47	544
81	48	543
82	48	539
83	49	538
84	49	536
85	50	534
86	50	533
87	51	531
88	51	531
89	52	529
90	52	528
91	53	527
92	54	526
93	54	525
94	55	524
95	55	522
96	56	523
97	56	522
98	57	520
99	57	519
100	58	518
101	58	516
102	59	515
103	59	514
104	60	513
105	60	513
106	61	511
107	61	510
108	62	509
109	62	508
110	63	507
111	63	506
112	64	505
113	64	504
114	65	504
115	66	504
116	66	503
117	67	502
118	67	501
119	68	500
120	69	501
121	69	500
122	70	501
123	70	500
124	71	499
125	71	498
126	72	496
127	72	495
128	73	494
129	73	494
130	74	493
131	74	492
132	75	491
133	75	490
134	76	489
135	76	488
136	77	487
137	77	486
138	78	485
139	78	484
140	79	483
141	79	482
142	80	481
143	80	480
144	81	479
145	81	478
146	82	478
147	82	477
148	83	476
149	83	475
150	84	474
151	85	475
152	85	475
153	86	474
154	86	473
155	87	473
156	87	472
157	88	471
158	88	470
159	89	469
160	89	467
161	90	466
162	91	467
163	91	467
164	92	467
165	92	466
166	93	465
167	93	465
168	94	465
169	95	465
170	96	465
171	96	465
172	97	466
173	98	465
174	98	464
175	99	464
176	99	463
177	100	463
178	100	462
179	101	461
180	101	460
181	102	459
182	102	458
183	103	458
184	103	457
185	104	456
186	104	456
187	105	455
188	106	455
189	106	454
190	107	454
191	107	453
192	108	452
193	108	451
194	109	450
195	109	450
196	110	449
197	111	449
198	111	449
199	112	448
200	112	447
201	113	446
202	113	445
203	113	444
204	114	443
205	114	442
206	115	441
207	115	441
208	116	440
209	116	440
210	117	439
211	118	438
212	118	438
213	119	437
214	119	436
215	120	435
216	120	434
217	121	434
218	121	433
219	123	436
220	123	436
221	124	435
222	124	434
223	125	434
224	125	433
225	126	432
226	126	432
227	127	431
228	127	430
229	128	429
230	128	429
231	129	428
232	129	427
233	130	426
234	130	426
235	131	425
236	131	424
237	132	423
238	132	422
239	133	421
240	133	422
241	134	421
242	135	420
243	135	419
244	136	419
245	136	418
246	137	417
247	137	417
248	138	416
249	138	415
250	139	415
251	139	414
252	140	415
253	141	416
254	142	415
255	142	415
256	143	414
257	143	413
258	144	412
259	144	412
260	145	411
261	145	410
262	146	409
263	146	409
264	147	408
265	147	408
266	148	407
267	148	406
268	149	405
269	149	404
270	150	404
271	150	403
272	151	402
273	151	402
274	152	401
275	152	400
276	153	400
277	153	399
278	154	399
279	154	398
280	155	397
281	155	397
282	156	396
283	156	395
284	157	395
285	157	394
286	158	393
287	158	392
288	159	392
289	160	391
290	160	391
291	161	390
292	161	389
293	162	389
294	162	388
295	162	387
296	163	386
297	163	386
298	164	385
299	165	385
300	165	385
301	166	384
302	167	384
303	167	384
304	168	383
305	168	382
306	169	382
307	169	381
308	170	380
309	170	380
310	171	379
311	171	378
312	172	377
313	172	377
314	173	376
315	173	375
316	174	375
317	174	374
318	175	373
319	175	373
320	176	372
321	176	371
322	177	371
323	177	370
324	177	369
325	178	369
326	179	368
327	179	367
328	180	367
329	180	366
330	180	365
331	181	365
332	181	364
333	182	363
334	182	363
335	183	362
336	183	361
337	184	361
338	184	360
339	185	359
340	185	359
341	186	358
342	186	357
343	187	357
344	187	356
345	188	355
346	188	354
347	189	354
348	189	353
349	189	352
350	190	352
351	190	351
352	191	350
353	191	350
354	192	349
355	192	348
356	193	348
357	194	347
358	194	347
359	195	346
360	195	346
361	196	345
362	196	344
363	197	344
364	197	343
365	198	343
366	198	342
367	199	341
368	199	341
369	199	340
370	200	339
371	200	339
372	201	338
373	201	337
374	202	337
375	202	336
376	203	336
377	203	335
378	204	334
379	204	334
380	205	333
381	205	332
382	206	332
383	206	331
384	207	331
385	207	330
386	208	329
387	208	329
388	209	328
389	209	328
390	210	327
391	211	327
392	211	326
393	212	326
394	212	325
395	213	324
396	213	324
397	214	323
398	214	323
399	214	322
400	215	321
401	216	321
402	216	320
403	217	320
404	217	319
405	217	318
406	218	318
407	218	317
408	219	316
409	219	316
410	220	315
411	220	315
412	221	314
413	221	313
414	222	313
